source_strategy,source_category_id,source_category_name,source_category_path,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0GM1FW3J1,,"Seaperk Boat Caddy Organizer, 3-in-1 Mount (Screw/Fishing Boat Track/Clamp-On), Removable Divider Card & Anti-Slip Pad, Fits 40oz Tumbler, for Boat Kayak Tree Stand Bicycle Walker Wheelchair",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,17.99,5.04,1.44,5.77,0.15,466.0,85.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GM1FW3J1; brand Seaperk,https://www.amazon.com/dp/B0GM1FW3J1,54.1,Watch or collect more data,3.04,0.1691,1417.34,81.6,60.3,1.2,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GM1FW3J1,2026-09-01 21:50:14,2026-09-01 21:54:02,3,54.1,54.1,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Toilet Brushes & Holders,85975011,Toilet Brushes & Holders,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,B0FPVS8NGD,,"Disposable Toilet Bowl Brush with 36 Count Refills, Toilet Cleaning Stick,Toilet Bowl Cleaner Holder and Set, Toilet Cleaning System Starter Kit",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Brushes > Toilet Brushes & Holders,US,24.99,7.0,2.0,6.78,0.15,2068.0,161.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPVS8NGD; brand MNWHUC,https://www.amazon.com/dp/B0FPVS8NGD,53.8,Watch or collect more data,5.46,0.2185,11294.38,87.3,46.8,20.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FPVS8NGD,2026-09-01 21:42:46,2026-09-01 21:54:02,4,53.8,53.8,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Buckets,2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,B0G24F8SRT,,"Folding Bucket, Water Bucket, 5L, 10L, Thick, Multi-Functional, Convenient, Foot Bath, Square, Stylish, Camping, Laundry, car wash, Foot Bath, Fishing (Beige-5L)",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,US,12.59,3.53,1.01,5.95,0.15,343.0,16.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0G24F8SRT; brand Gorocking,https://www.amazon.com/dp/B0G24F8SRT,53.8,Watch or collect more data,0.21,0.0168,72.54,61.1,70.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0G24F8SRT,2026-09-01 21:52:33,2026-09-01 21:54:02,2,53.8,53.8,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Cleaning Tools,3398891,Cleaning Tools,Sports & Outdoors > Sports > Boating & Sailing > Boating > Maintenance Supplies > Cleaning Tools,B0DN1NBQ17,,WAVESRX PWC & Boat Wash Sprayer & Engine Flush Mixer to Wash Salt Away | Dual-Use Marine Soap Foamer to Quickly Wash and Rinse | Cleaning Kit for Boating with Garden Hose Quick-Connect,Sports & Outdoors > Sports > Boating & Sailing > Boating > Maintenance Supplies > Cleaning Tools,US,44.99,12.6,3.6,5.35,0.15,205.0,60.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DN1NBQ17; brand WAVESRX,https://www.amazon.com/dp/B0DN1NBQ17,53.7,Watch or collect more data,16.69,0.371,3421.76,38.1,58.3,46.4,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DN1NBQ17,2026-09-01 21:52:33,2026-09-01 21:54:02,2,53.7,53.7,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Hand Brooms,14253841,Hand Brooms,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,B0D9BVF267,,Tioncy 8 Pieces Wooden Dust Brush Bulk Hand Broom Bench Brush,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Sweeping > Brooms > Hand Brooms,US,27.99,7.84,2.24,6.25,0.15,350.0,47.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0D9BVF267; brand Tioncy,https://www.amazon.com/dp/B0D9BVF267,53.6,Watch or collect more data,7.46,0.2666,2611.52,62.3,63.3,11.7,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0D9BVF267,2026-09-01 21:52:33,2026-09-01 21:54:02,2,53.6,53.6,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Wine Stoppers,678499011,Wine Stoppers,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Stoppers,B0B6Q2SC2J,,"Barrel-Art Bourbon Stopper Display for Blanton‘s, Natural Metal Hoop | Reclaimed bourbon barrel stave cork display with metal hoop accents; holds all 8 horse stoppers. Stoppers not included",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Bar & Wine Tools > Wine Stoppers & Pourers > Wine Stoppers,US,69.99,19.6,5.6,11.09,0.15,252.0,128.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0B6Q2SC2J; brand Barrel-Art,https://www.amazon.com/dp/B0B6Q2SC2J,53.6,Watch or collect more data,23.2,0.3315,5846.78,46.0,46.8,61.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0B6Q2SC2J,2026-09-01 21:52:33,2026-09-01 21:54:02,2,53.6,53.6,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Buckets,2245509011,Buckets,Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,B0GKQK629K,,"Hachiman Micro Bucket, 0.18 Gallon Heavy Duty Bucket with Lid & Handle",Home & Kitchen > Cleaning Supplies > Household Cleaning > Cleaning Tools > Mopping > Buckets,US,20.0,5.6,1.6,8.3,0.15,429.0,80.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GKQK629K; brand Hachiman,https://www.amazon.com/dp/B0GKQK629K,52.8,Watch or collect more data,1.5,0.075,643.5,75.5,60.3,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GKQK629K,2026-09-01 21:52:33,2026-09-01 21:54:02,2,52.8,52.8,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Storage,3397571,Storage,Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,B0FPX95B8J,,"QualyQualy Self-Adhesive Boat Cup Holder Phone Holder, 2-Pack Boat Organizers and Storage Bag with Strong Adhesive, 6.5“x7.5“ Boat Caddy, Securely Tools Holds Large Drink Bottles (3.3“ In Dia)",Sports & Outdoors > Sports > Boating & Sailing > Boating > Boat Cabin Products > Storage,US,15.99,4.48,1.28,4.18,0.15,429.0,91.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FPX95B8J; brand QualyQualy,https://www.amazon.com/dp/B0FPX95B8J,52.3,Watch or collect more data,3.65,0.2284,1566.49,75.5,58.3,1.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0FPX95B8J,2026-09-01 21:52:33,2026-09-01 21:54:02,2,52.3,52.3,Watch or collect more data,Watch or collect more data,active_in_latest_run,20260901_final_replay,watchlist,
category:Vertical Plate Holders,,,,B0GSZS9TST,B0GSZS9TST,"Invisible Wall Plate Hangers - Clear Adhesive Picture Hanging Strips for Displaying Decorative Plates, Paintings & Photo Frames - Damage-Free, Strong Hold (2.4 Inch)","['Kitchen & Dining', 'kitchen']",US,18.99,5.32,1.52,4.18,0.15,551.0,10.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GSZS9TST; parent B0GSZS9TST; brand LWJTTDFJ,https://www.amazon.com/dp/B0GSZS9TST,60.2,Watch or collect more data,5.12,0.2697,2821.95,87.3,70.3,8.1,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GSZS9TST,2026-08-31 08:10:41,2026-08-31 21:19:57,4,72.3,60.2,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
category:Storage Boxes,,,,B0H1C5J3R2,B0H1C5J3R2,"Set of (10) 6 Quart Storage Boxes, Clear Plastic Storage Bin with Snap-on Lid, White","['Home & Kitchen', 'home-garden']",US,15.98,4.47,1.28,3.5,0.15,649.0,10.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,65.0,20.0,53.8,C,"observed:price,sales,reviews,rating; estimated:fba_fee,search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0H1C5J3R2; parent B0H1C5J3R2; brand Generic,https://www.amazon.com/dp/B0H1C5J3R2,59.5,Watch or collect more data,4.33,0.2712,2812.12,87.3,68.3,8.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate; evidence confidence below supplier-validation threshold,,,asin:B0H1C5J3R2,2026-08-31 08:10:41,2026-08-31 08:13:08,3,71.4,59.5,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Storage Boxes,,,,B0DYJRMZCV,B0HFFPZ9FC,"8-Pack Clear Classroom Storage Bins, Plastic Cubby Book Bins for Classroom Organization, Book & Toy Storage Organizer, Perfect for Classroom Library, Shelves, STEM Centers, Daycare & Homeschool","['Home & Kitchen', 'home-garden']",US,28.99,8.12,2.32,9.36,0.15,898.0,16.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DYJRMZCV; parent B0HFFPZ9FC; brand Hldgras,https://www.amazon.com/dp/B0DYJRMZCV,59.2,Watch or collect more data,4.84,0.167,4347.67,87.3,68.3,9.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0DYJRMZCV,2026-08-31 08:10:41,2026-08-31 08:13:08,3,70.6,59.2,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_logic_audit,watchlist,
category:Storage Boxes,,,,B0DRN24XD6,B0DRN7F6FJ,1Pcs Wall-Mounted Storage Box Space-Saving Wall Organizer for Phone Remote Small Items Creative Hanging Storage Easy Install No Electricity Needed(White),"['', '']",US,80.0,22.4,6.4,3.16,0.15,1200.0,285.0,3.8,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DRN24XD6; parent B0DRN7F6FJ; brand N/A,https://www.amazon.com/dp/B0DRN24XD6,69.1,Watch or collect more data,36.04,0.4505,43248.0,87.3,42.8,86.7,22.0,78.0,landed cost still estimated,,,asin:B0DRN24XD6,2026-08-24 12:48:06,2026-08-24 12:48:06,1,69.1,69.1,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260824_083043,watchlist,
category:Cups & Mugs,,,,B0F672TB5Y,B0GXC3YWRQ,Contigo Superior 2.0 Stainless Steel Travel Mug 20oz with Handle | Leak-Proof Lid | Double-Wall Insulation | Dark Ice | Pack of 4,"['Kitchen & Dining', 'kitchen']",US,67.96,19.03,5.44,12.23,0.15,4166.0,0.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,,,,,,,Imported from Sorftime; ASIN B0F672TB5Y; parent B0GXC3YWRQ; brand Contigo,https://www.amazon.com/dp/B0F672TB5Y,67.4,Watch or collect more data,21.07,0.31,87760.96,87.3,68.3,60.1,22.0,78.0,gross margin below 35%,,,asin:B0F672TB5Y,2026-05-29 10:45:09,2026-05-29 10:45:09,1,67.4,67.4,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260529_104509,watchlist,
category:Pepper Mills,15850251,Pepper Mills,Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Pepper Mills,B0BXFSJ3KY,,"Alexander Home Original Greek Pepper Mill, 9-Inch Brass - European Manual Pepper Grinder, Refillable",Home & Kitchen > Kitchen & Dining > Kitchen Utensils & Gadgets > Seasoning & Spice Tools > Salt & Pepper > Pepper Mills,US,67.0,18.76,5.36,5.72,0.15,541.0,117.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0BXFSJ3KY; brand Alexander Home,https://www.amazon.com/dp/B0BXFSJ3KY,67.3,Watch or collect more data,27.11,0.4046,14666.51,87.3,52.8,80.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0BXFSJ3KY,2026-09-01 21:42:46,2026-09-01 21:42:46,1,67.3,67.3,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260901_214146,watchlist,
category:Bathroom Shelves,,,,B0GV43R4TJ,B0GV3NGX74,"Bathroom Counter Organizer, Vanity Organizer, Perfume Organizer","['Tools & Home Improvement', 'hi']",US,32.98,9.23,2.64,5.77,0.15,536.0,25.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GV43R4TJ; parent B0GV3NGX74; brand UJQSUN,https://www.amazon.com/dp/B0GV43R4TJ,60.7,Watch or collect more data,10.39,0.3151,5570.65,87.3,59.3,32.5,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,asin:B0GV43R4TJ,2026-08-24 12:48:06,2026-08-31 21:19:57,7,67.2,60.7,Watch or collect more data,Watch or collect more data,not_in_latest_run,20260831_quota_recovery,watchlist,
