source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,data_source_summary,profit_estimate_status,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Shelf Baskets,B0DRJCWHR9,B0DRJD87ZS,"XUANGUO Small Woven Storage Baskets for Shelves, 12” x 8” x 5”, Pink","['Home & Kitchen', 'home-garden']",US,20.87,5.84,1.67,8.5,0.15,2085.0,342.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DRJCWHR9; parent B0DRJD87ZS; brand XUANGUO,https://www.amazon.com/dp/B0DRJCWHR9,45.0,Reject,1.73,0.0829,3606.01,87.3,36.8,7.4,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0FRM82YBD,B0FRGHMVTZ,Beautiful Storage Basket Set of 3 - Sturdy Jute Rope Baskets for Shelves,"['Home & Kitchen', 'home-garden']",US,17.99,5.04,1.44,7.73,0.15,1226.0,186.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FRM82YBD; parent B0FRGHMVTZ; brand ZICOTO,https://www.amazon.com/dp/B0FRM82YBD,45.0,Reject,1.08,0.0601,1325.92,87.3,50.8,0.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0FD9TXKYH,B0FND5PK38,OIAHOMY Woven Storage Basket for Shelves Rope Baskets for Organizing Brown,"['Home & Kitchen', 'home-garden']",US,14.39,4.03,1.15,5.77,0.15,1024.0,235.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FD9TXKYH; parent B0FND5PK38; brand OIAHOMY,https://www.amazon.com/dp/B0FD9TXKYH,45.0,Reject,1.28,0.0891,1312.26,87.3,36.8,0.9,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0DR8HJFWB,B0F8B2N5R5,"UBBCARE 2 Pack Wicker Basket, 10.5×10.5 Storage Cubes with Label, Foldable Cube Storage Bin with Handle, Square Storage Basket for Shelves, Woven Paper Rope Basket for Organizing, Black","['Home & Kitchen', 'home-garden']",US,21.99,6.16,1.76,7.92,0.15,967.0,208.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DR8HJFWB; parent B0F8B2N5R5; brand UBBCARE,https://www.amazon.com/dp/B0DR8HJFWB,45.0,Reject,2.85,0.1297,2757.4,87.3,40.8,5.0,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0FWHPDCLX,B0FWHPGQS9,"Small Wicker Basket for Organizing, Woven Storage Basket Sets of 3","['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,7.73,0.15,920.0,115.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FWHPDCLX; parent B0FWHPGQS9; brand SEVDIZON,https://www.amazon.com/dp/B0FWHPDCLX,45.0,Reject,2.06,0.1031,1896.58,87.3,46.8,2.6,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Shelf Baskets,B0FHKMP6NX,B0FHJRHMQL,"Woodland Animal Storage Basket Waterproof Canvas Toy Storage Bin Home Forest Decor Collapsible Outdoor Basket with Leather Handles Woodland Decor Blanket Baskets For Closets,Bedrooms,Gifts Baskets","['Home & Kitchen', 'home-garden']",US,15.99,4.48,1.28,7.2,0.15,728.0,216.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FHKMP6NX; parent B0FHJRHMQL; brand AmazerPad,https://www.amazon.com/dp/B0FHKMP6NX,45.0,Reject,0.63,0.0395,459.73,87.3,36.8,0.0,22.0,78.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0F8GRZJGR,B0FV2D5V6G,"EOENVIVS Plastic Storage Bins with Lids 6 Pack Storage Organizer, 7 Quart Stackable Storage Boxes with Buckle Lids and Handle easy for Home Office Pantry Organization, Clear","['Home & Kitchen', 'home-garden']",US,22.75,6.37,1.82,9.46,0.15,1684.0,319.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0F8GRZJGR; parent B0FV2D5V6G; brand EOENVIVS,https://www.amazon.com/dp/B0F8GRZJGR,45.0,Reject,1.69,0.0742,2841.75,87.3,40.8,5.3,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0GDDTFF6R,B0CPHTNQ87,"Clothes Storage Bins with Metal Frame, Foldable Clothes Organizers Storage Containers for Clothes, Sheets, Blankets, Pillows and Towels (24L, 3 Pack, Deep Grey)","['Home & Kitchen', 'home-garden']",US,19.99,5.6,1.6,7.84,0.15,1606.0,341.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0GDDTFF6R; parent B0CPHTNQ87; brand LeArex,https://www.amazon.com/dp/B0GDDTFF6R,45.0,Reject,1.95,0.0976,3134.11,87.3,40.8,6.1,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0DP2QFPF2,B0FXN8T3HL,Decorative Photo Storage Box - Sturdy Linen Organizer Holds 1700 Photos | Organizer with Dividers Stores Up to 1700 4x6 Pictures - Portable Scrapbook Storage Containers with Lid,"['Home & Kitchen', 'home-garden']",US,24.99,7.0,2.0,6.73,0.15,1295.0,388.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0DP2QFPF2; parent B0FXN8T3HL; brand ZICOTO,https://www.amazon.com/dp/B0DP2QFPF2,45.0,Reject,5.51,0.2205,7137.39,87.3,36.8,18.6,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
category:Storage Boxes,B0FHB6P33X,B0FPVWFM5Y,"Decorative Photo Storage Box, Linen Photo Box Holds 1700 4x6 Pictures Beige","['Home & Kitchen', 'home-garden']",US,23.99,6.72,1.92,6.73,0.15,1001.0,220.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,75.0,35.0,65.0,B,"observed:price,sales,reviews,rating,fba_fee; estimated:search_volume,cpc",estimated_default_costs,Imported from Sorftime; ASIN B0FHB6P33X; parent B0FPVWFM5Y; brand Jolensoy,https://www.amazon.com/dp/B0FHB6P33X,45.0,Reject,5.02,0.2093,5026.52,87.3,36.8,11.5,27.0,73.0,supplier quote required; estimated profit is not a rejection gate,,,,,,,,,,,,,,
