source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
newer_low_review,B0G1YGS5Z8,B0G1YKN7G7,"AIZESI 41-144 Inch Heavy Duty Black Tension Curtain Rod - No Drilling, Adjustable, Rust-Resistant for Outdoor, Living Room, Window, Bathroom","['Home & Kitchen', 'home-garden']",US,37.99,10.64,3.04,12.36,0.15,1798.0,106.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,60.0,Imported from Sorftime; ASIN B0G1YGS5Z8; parent B0G1YKN7G7; brand AIZESI,https://www.amazon.com/dp/B0G1YGS5Z8,48.2,Reject,6.25,0.1646,11240.2,87.3,50.8,22.5,30.0,70.0,gross margin below 35%; unit profit below $8; oversize risk,,,,,,,,,,,,,,
newer_low_review,B0DNF92S51,B0DSDJZ6R5,"Mosluna Flat Feather Down Pillows Pillows for Sleeping Queen Size Set of 1, Thin Hotel Pillow 1 Pack with Airyfil™ Fillings, Soft Bed Pillow for Stomach, Back Sleepers, Soft, 20×30 in.","['Home & Kitchen', 'home-garden']",US,33.24,9.31,2.66,8.7,0.15,1797.0,106.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DNF92S51; parent B0DSDJZ6R5; brand Mosluna,https://www.amazon.com/dp/B0DNF92S51,48.2,Reject,7.58,0.2282,13628.45,87.3,46.8,25.2,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B0DPDBGVJ1,B0GWQGTLKF,"Garden Netting Kit for Raised Beds, 10 x30FT Ultra Fine Mesh Netting＆ 6 Sets of 8FT Fiberglass Garden Hoops, Row Cover Insect Netting for Vegetable Plant Fruit Flowers Protection","['Patio, Lawn & Garden', 'lawn-garden']",US,32.99,9.24,2.64,8.02,0.15,3000.0,354.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DPDBGVJ1; parent B0GWQGTLKF; brand Monirsen,https://www.amazon.com/dp/B0DPDBGVJ1,47.4,Reject,8.14,0.2468,24424.5,87.3,42.8,26.3,27.0,73.0,gross margin below 35%,,,,,,,,,,,,,,
higher_ticket_lightweight,B08Y8JD256,B0GY3YVR2G,"URPOWER Stainless Steel Cat Litter Box with Flip-Top Lid Extra Large Enclosed Litter Box Non-Sticky Metal Pan with High Sided & Scoop, Odor Free, Front & Top Entry, Anti-Leakage, Easy Cleaning","['Pet Supplies', 'pet-supplies']",US,69.99,19.6,5.6,18.98,0.15,1490.0,612.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B08Y8JD256; parent B0GY3YVR2G; brand URPOWER,https://www.amazon.com/dp/B08Y8JD256,47.4,Reject,15.31,0.2188,22814.13,87.3,24.3,40.6,22.0,78.0,gross margin below 35%; review count above 600,,,,,,,,,,,,,,
light_small_general,B0F5VLY117,B0FJ65FTB1,"Black Curtain Rods for Windows 48-90Inch(4-7.5ft) Heavy Duty Wrap Around Blackout Curtain Rods,Adjustable Room Darkening Drapery Rod for Bedroom, Living Room, Sliding Door & Outdoor Patio","['Home & Kitchen', 'home-garden']",US,26.99,7.56,2.16,7.12,0.15,3000.0,109.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0F5VLY117; parent B0FJ65FTB1; brand RBYCOS,https://www.amazon.com/dp/B0F5VLY117,47.2,Reject,6.1,0.2261,18304.5,87.3,46.8,22.2,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
consumable_replacement,B0G325MV8L,B0GMGKQ77R,"Smiry Waffle Bath Mat 30 x20, Extra Soft Absorbent Bathroom Rugs, Non Slip Machine Washable Quick Dry Bath Rugs for Bathroom Floor, Tub, Shower, Home Decor Accessories, Lightgrey & Cream","['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,10.59,0.15,4994.0,167.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0G325MV8L; parent B0GMGKQ77R; brand Smiry,https://www.amazon.com/dp/B0G325MV8L,46.9,Reject,2.14,0.0824,10694.65,87.3,46.8,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
rating_gap,B0FKBF1LS8,B0FZ9XT6LW,Men‘s Tactical Pants Stretch Waterproof Fabric Durable Cargo Pants for Hiking Casual Work Multi Pockets (No Belt),"['Sports & Outdoors', 'sporting-goods']",US,19.98,5.59,1.6,4.9,0.15,4907.0,214.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FKBF1LS8; parent B0FZ9XT6LW; brand LYRXXX,https://www.amazon.com/dp/B0FKBF1LS8,45.7,Reject,4.89,0.2449,24009.95,87.3,42.8,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
consumable_replacement,B0FD3PDC34,B0FK9J731L,"Wide Rain Shower Head With 5 Modes Handheld Showerheads, High Pressure Showerhead Combo with Extension Arm for Bathroom Accessories, Adjustable Shower Head with Anti-Clog Nozzles (Chrome)","['Tools & Home Improvement', 'hi']",US,24.99,7.0,2.0,7.7,0.15,4983.0,328.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0FD3PDC34; parent B0FK9J731L; brand SeaCity,https://www.amazon.com/dp/B0FD3PDC34,45.2,Reject,4.54,0.1817,22630.29,87.3,42.8,20.0,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0GJTR956T,B0GLJ572B8,BaubleBar Ultimate DIY Bracelet Kit | 1000+ Pcs | Great for a Gift or Party | Bracelet Jewelry Making Kit with Beads,"['Arts, Crafts & Sewing', 'arts-crafts']",US,48.0,13.44,3.84,6.2,0.15,1799.0,15.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0GJTR956T; parent B0GLJ572B8; brand BaubleBar,https://www.amazon.com/dp/B0GJTR956T,45.0,Reject,17.32,0.3608,31158.68,87.3,68.3,59.4,27.0,73.0,brand moat: BaubleBar,brand moat: BaubleBar,,,,,,,,,,,,,
higher_ticket_lightweight,B0GN5B7PXR,B0GY9679ZT,Dyson HushJet™ Mini Cool fan (Stone/Blush),"['Home & Kitchen', 'home-garden']",US,99.95,27.99,8.0,5.64,0.15,1497.0,13.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GN5B7PXR; parent B0GY9679ZT; brand Dyson,https://www.amazon.com/dp/B0GN5B7PXR,45.0,Reject,43.33,0.4335,64861.27,87.3,70.3,84.5,22.0,78.0,brand moat: Dyson,brand moat: Dyson,,,,,,,,,,,,,
higher_ticket_lightweight,B0DSCNQYT3,B0GYZ2GMP9,Made In Cookware - 12“ Ceramic Non Stick Frying Pan (Discontinued CeramiClad 1.0) - 5-Ply Stainless Clad with Stay-Cool Handle - Crafted in USA - Professional Cookware,"['Kitchen & Dining', 'kitchen']",US,95.4,26.71,7.63,12.39,0.15,1494.0,363.0,3.9,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,60.0,Imported from Sorftime; ASIN B0DSCNQYT3; parent B0GYZ2GMP9; brand Made In,https://www.amazon.com/dp/B0DSCNQYT3,45.0,Reject,34.36,0.3602,51333.84,87.3,42.8,74.7,30.0,70.0,brand moat: Made In; oversize risk,brand moat: Made In,,,,,,,,,,,,,
newer_low_review,B0GQPZPZ3Q,B0FGJY7255,"(6 Pack) Clothes for LABUBU 17cm Doll (NO Dolls), Exquisite Luxury Designer Outfits for LABUBU, Fashion and Premium Doll Clothing Set Suitable for LABUBU Dress up Unique Style","['', '']",US,24.99,7.0,2.0,4.5,0.15,1796.0,428.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0GQPZPZ3Q; parent B0FGJY7255; brand VVQUI,https://www.amazon.com/dp/B0GQPZPZ3Q,44.9,Reject,7.74,0.3098,13903.73,87.3,24.3,33.5,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0DS48R781,B0DS421GSX,"Ivydale 20PCS Artificial Plants Fake Flowers Monkey Grass for Outdoors,UV Resistant Realistic Purple Faux Greenery Shrubs Outside Decor for Home Garland Porch Patio Balcony Planter Yard Office Pathway","['Home & Kitchen', 'home-garden']",US,25.19,7.05,2.02,6.2,0.15,1799.0,357.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DS48R781; parent B0DS421GSX; brand Ivydale,https://www.amazon.com/dp/B0DS48R781,44.7,Reject,6.14,0.2438,11048.56,87.3,36.8,22.3,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
consumable_replacement,B0FZV5LN6J,B0GZKB1HGX,"Stainless Steel Cat Litter Box, Odor Free Metal Litter Box with High Sides Lid, Open Top Low Entry Litter Pan Include Scoop Easy Cleaning Anti-Scratch Kitty Cat Box Anti-Urine Leakage, Non-Sticky","['Pet Supplies', 'pet-supplies']",US,26.99,7.56,2.16,9.83,0.15,4982.0,333.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0FZV5LN6J; parent B0GZKB1HGX; brand KISENG,https://www.amazon.com/dp/B0FZV5LN6J,44.6,Reject,3.39,0.1257,16896.45,87.3,40.8,20.0,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0F8VLSNT4,B0F8VSR64V,"Floroom Mini Artificial Flower Heads Lavender & Purple Fake Peony Daisy Rose Multicolor Small Faux Silk Flower Heads for Cake Craft Garland Wedding Party Graduation Cap DIY Home Decoration, 0.8“-3.6“","['Home & Kitchen', 'home-garden']",US,14.99,4.2,1.2,4.47,0.15,1796.0,137.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0F8VLSNT4; parent B0F8VSR64V; brand Floroom,https://www.amazon.com/dp/B0F8VLSNT4,44.1,Reject,2.87,0.1916,5157.21,87.3,46.8,11.9,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
consumable_replacement,B0BG5NK6ZG,B0CKMD91SQ,"Margarita Salt Rimmer Set,1 Pack 3 Tier Bar Glass Rimmer Bamboo Wood Sugar Salt Box with Sponge,Bartender Tool for Cocktail and Margarita","['Kitchen & Dining', 'kitchen']",US,21.99,6.16,1.76,5.91,0.15,4989.0,330.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0BG5NK6ZG; parent B0CKMD91SQ; brand TonJin,https://www.amazon.com/dp/B0BG5NK6ZG,43.9,Reject,4.86,0.2211,24254.02,87.3,36.8,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B0D69VGY9G,B0DN1FCM4D,"Flea and Tick Collar for Dogs 4 Pack, 32 Months Prevention, Waterproof, Adjustable for Small Medium Large Dogs Puppies (Black)","['Pet Supplies', 'pet-supplies']",US,18.19,5.09,1.46,4.17,0.15,2996.0,764.0,4.2,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D69VGY9G; parent B0DN1FCM4D; brand VICSOM,https://www.amazon.com/dp/B0D69VGY9G,41.9,Reject,4.74,0.2607,14205.53,87.3,28.3,21.4,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
consumable_replacement,B0D4YPTR5V,B0GWRR5KL3,"Male Dog Wraps 50 Ct, Medium Size, Male Dog Diapers Disposable, Super Absorbent Leak-Proof Doggy Diapers,Belly Bands for Dogs with Wetness Indicator, Ideal for Indoor, Outdoor","['Pet Supplies', 'pet-supplies']",US,24.29,6.8,1.94,8.02,0.15,5000.0,579.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0D4YPTR5V; parent B0GWRR5KL3; brand IMMCUTE,https://www.amazon.com/dp/B0D4YPTR5V,41.5,Reject,3.89,0.16,19432.5,87.3,30.3,20.0,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B0G2LF4RDX,B0DJNY8BCW,"Hummingbird House, Small Hummingbird Houses for Outside, Wooden Bird House with Bow, String, Cute Gardening Gifts Home Decoration","['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,4.9,0.15,3000.0,787.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0G2LF4RDX; parent B0DJNY8BCW; brand Fitraho,https://www.amazon.com/dp/B0G2LF4RDX,41.4,Reject,4.89,0.2447,14674.5,87.3,28.3,20.0,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
newer_low_review,B0FFGGGMDM,B0FMKF527C,"MesRosa 2 Pack Deviled Egg Containers with Lid and Handle, Durable Clear Plastic Deviled Egg Carrier Storage 48 Eggs, Stackable Egg Holder for Fridge, Portable Tray Platter for Party & Picnics-White","['Kitchen & Dining', 'kitchen']",US,22.98,6.43,1.84,8.12,0.15,1796.0,374.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0FFGGGMDM; parent B0FMKF527C; brand MesRosa,https://www.amazon.com/dp/B0FFGGGMDM,41.1,Reject,3.14,0.1368,5644.83,87.3,36.8,13.3,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B0DZX587J9,B0GWZR951M,"WELLOKB Alcohol Markers, 80 Colors Dual Art Colored Markers for Coloring Book, Painting, Drawing, Alcohol Based with Carrying Case (80, Broad&Fine)","['Arts, Crafts & Sewing', 'arts-crafts']",US,21.74,6.09,1.74,7.15,0.15,2987.0,598.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DZX587J9; parent B0GWZR951M; brand WELLOKB,https://www.amazon.com/dp/B0DZX587J9,40.9,Reject,3.5,0.1609,10451.51,87.3,28.3,20.0,27.0,73.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
newer_low_review,B0D9NZPN44,B0D9NWR15C,Sggvecsy 6Pcs 46.5Ft Artificial Rose Vine Fake Flower Garland Floral Garland Faux Silk Hanging Vine Rose Ivy Vines for Wedding Arch Party Wall Garden Ceremony Background Outdoor Decor (White),"['Home & Kitchen', 'home-garden']",US,25.99,7.28,2.08,8.22,0.15,1795.0,460.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D9NZPN44; parent B0D9NWR15C; brand Sggvecsy,https://www.amazon.com/dp/B0D9NZPN44,40.2,Reject,4.51,0.1736,8098.14,87.3,24.3,20.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
light_small_general,B00U6DJCR8,B0DJRY5QZR,Meowijuana | Dried Catnip Buds Jar | Premium Organic Catnip | Grown in North America | Perfect for Cat Toys | Fresh Catnip for Extended Playtime | Elevate Your Cat’s Enjoyment,"['Pet Supplies', 'pet-supplies']",US,19.99,5.6,1.6,4.46,0.15,2997.0,1180.0,4.1,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B00U6DJCR8; parent B0DJRY5QZR; brand Meowijuana,https://www.amazon.com/dp/B00U6DJCR8,40.0,Reject,5.33,0.2667,15978.51,87.3,20.3,22.9,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
