source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes,listing_url,market_data_completeness,profit_data_confidence,evidence_confidence,evidence_grade,profit_estimate_status,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Pod Stands,B0C1TSBYMY,B0BPJWNW1C,"K Cup Holder 40 Pods Capacity, Coffee Pods Holder Storage Organizer Stand | K Cup Carousel, 360°Rotating K Cup Organizer, Easy-Grip Top Handle,Space-Saving for Countertop, K Cups Holder Easy Assembly","['Kitchen & Dining', 'kitchen']",US,19.97,5.59,1.6,7.16,0.15,4815.0,87.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0C1TSBYMY; parent B0BPJWNW1C; brand BLACKSMITH FAMILY,https://www.amazon.com/dp/B0C1TSBYMY,0.0,0.0,35.0,D,estimated_or_unverified,45.0,Reject,2.62,0.1314,12636.97,87.3,54.3,20.0,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Covers,B0G2C27ZPP,B0H1WDBC7X,"Garden Zero Turn Mower Cover Waterproof,Zero Turn Lawn Mower Covers Windproof,Mower Protector Fit with Air Vents and Elastic Straps(Zero Turn-79'L x 55'W x 46'H)","['Patio, Lawn & Garden', 'lawn-garden']",US,23.99,6.72,1.92,6.73,0.15,2568.0,328.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0G2C27ZPP; parent B0H1WDBC7X; brand Rimwig,https://www.amazon.com/dp/B0G2C27ZPP,0.0,0.0,35.0,D,estimated_or_unverified,44.7,Reject,5.02,0.2093,12895.21,87.3,40.8,20.0,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tumblers,B0DZJPDGSD,B0F1DS9FFX,Rico Industries NCAA 24oz Stainless Steel Tumbler with Lid and Dual Functioning Lid (Sip or Use Straw),"['Sports & Outdoors', 'sporting-goods']",US,31.06,8.7,2.48,5.35,0.15,302.0,166.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DZJPDGSD; parent B0F1DS9FFX; brand Rico Industries,https://www.amazon.com/dp/B0DZJPDGSD,0.0,0.0,35.0,D,estimated_or_unverified,44.7,Reject,9.87,0.3178,2981.04,54.3,50.8,24.4,22.0,78.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Barbecue Forks,B0FL9F43KH,B0GTYPHQSB,"Smores Sticks For Fire Pit [All-Stainless Steel Set Of 6] -Marshmallow Roasting Sticks For Campfire, Telescoping S’mores Forks -Long Hot Dog Sticks [Dishwasher-Safe] - SUMPRI Campfire Skewers","['Patio, Lawn & Garden', 'lawn-garden']",US,18.95,5.31,1.52,4.87,0.15,614.0,94.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FL9F43KH; parent B0GTYPHQSB; brand SUMPRI,https://www.amazon.com/dp/B0FL9F43KH,0.0,0.0,35.0,D,estimated_or_unverified,43.9,Reject,4.41,0.2326,2706.21,87.3,54.3,4.9,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tumblers,B0BTYZSB3Q,B0CS3P2MGV,FOCO Dallas Cowboys NFL 40 oz XL Tumbler - Team Color,"['Sports & Outdoors', 'sporting-goods']",US,40.0,11.2,3.2,6.77,0.15,486.0,1400.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0BTYZSB3Q; parent B0CS3P2MGV; brand FOCO,https://www.amazon.com/dp/B0BTYZSB3Q,0.0,0.0,35.0,D,estimated_or_unverified,43.9,Reject,12.83,0.3208,6235.38,85.0,14.3,40.1,22.0,78.0,gross margin below 35%; review count above 600; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Barbecue Forks,B0C9T2RK2F,B0C9T2RK2F,Smores Sticks | Set of 6 Marshmallow Roasting Sticks | Extendable Stainless Steel w/Walnut Handles | Smore Sticks for Marshmallow Sticks for Fire Pit | Smore Sticks for Fire Pit,"['Patio, Lawn & Garden', 'lawn-garden']",US,21.99,6.16,1.76,4.73,0.15,920.0,284.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0C9T2RK2F; parent B0C9T2RK2F; brand Blue River Goods,https://www.amazon.com/dp/B0C9T2RK2F,0.0,0.0,35.0,D,estimated_or_unverified,43.4,Reject,6.04,0.2747,5558.18,87.3,36.8,18.4,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Cooling Bins,B0F2HV5DMS,B0F2HRJL6N,Bencailor Shark Birthday Party Decorations Grey Shark Inflatable Cooler Summer Ocean Blow up Drink Cooler Reusable Floating Ice Chest Tail Pool Drink Holder for Holiday Birthday Party Decorations,"['Patio, Lawn & Garden', 'lawn-garden']",US,27.98,7.83,2.24,5.94,0.15,236.0,28.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0F2HV5DMS; parent B0F2HRJL6N; brand Bencailor,https://www.amazon.com/dp/B0F2HV5DMS,0.0,0.0,35.0,D,estimated_or_unverified,43.0,Reject,7.77,0.2778,1834.43,43.3,65.3,11.6,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tune-Up Kits,B0CR2V1829,B0CR2V1829,Ferilter 149CC Carburetor for Kohler XT675 XT650 Toro 22 Recycler Lawn Mower 20371 20378 20377 14 853 68-S Carburetor for Kolhler 6.5hp 6.75 hp 149cc Engine Tune Up Kit 14 083 15-S Air Filter,"['Patio, Lawn & Garden', 'lawn-garden']",US,18.98,5.31,1.52,4.88,0.15,587.0,179.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0CR2V1829; parent B0CR2V1829; brand Ferilter,https://www.amazon.com/dp/B0CR2V1829,0.0,0.0,35.0,D,estimated_or_unverified,42.7,Reject,4.42,0.233,2596.3,87.3,50.8,4.6,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Recoil Springs,B0DNDPMWJ4,B0DZVPF9ZJ,HQPASFY 28400-Z9V-014 Recoil Starter Assembly,"['Patio, Lawn & Garden', 'lawn-garden']",US,16.99,4.76,1.36,3.7,0.15,335.0,19.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DNDPMWJ4; parent B0DZVPF9ZJ; brand HQPASFY,https://www.amazon.com/dp/B0DNDPMWJ4,0.0,0.0,35.0,D,estimated_or_unverified,42.6,Reject,4.62,0.272,1548.2,59.8,64.3,4.5,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tumblers,B0DZKC6VQF,B0F2TDJC2M,Rico Industries NFL Football 24oz Stainless Steel Tumbler with Lid and Dual Functioning Lid,"['Sports & Outdoors', 'sporting-goods']",US,31.86,8.92,2.55,4.89,0.15,309.0,214.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DZKC6VQF; parent B0F2TDJC2M; brand Rico Industries,https://www.amazon.com/dp/B0DZKC6VQF,0.0,0.0,35.0,D,estimated_or_unverified,42.5,Reject,10.72,0.3365,3312.79,55.5,36.8,29.6,22.0,78.0,gross margin below 35%; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Solenoids,B0DDL479GH,B0FG87SXVC,JTAREA 762-1261-211-51 762-1261-211-50 Starter Solenoid 12V Lawn Mower Replacement Lawnmower Parts for Trombetta Cub Cadet Craftsman Husqvarna 862-1241-211-12 725-06153A 532192507,"['Patio, Lawn & Garden', 'lawn-garden']",US,12.99,3.64,1.04,4.17,0.15,1423.0,111.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DDL479GH; parent B0FG87SXVC; brand JTAREA,https://www.amazon.com/dp/B0DDL479GH,0.0,0.0,35.0,D,estimated_or_unverified,42.1,Reject,2.19,0.1687,3118.5,87.3,46.8,6.1,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Outdoor Trash Cans,B0DR8GMXFZ,B0DR8JY9WL,"30 Gallon Collapsible Trash Can for RV Camping, Zip Lid | Portable, reusable. For RV, recycling, yard waste, leaf bag, toy bin, hiking, travel, weeds. Folds flat for storage.","['Home & Kitchen', 'home-garden']",US,18.99,5.32,1.52,7.74,0.15,673.0,152.0,3.7,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DR8GMXFZ; parent B0DR8JY9WL; brand Werduoland,https://www.amazon.com/dp/B0DR8GMXFZ,0.0,0.0,35.0,D,estimated_or_unverified,41.8,Reject,1.56,0.0822,1050.89,87.3,52.8,0.1,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Hour Tachometers,B0F8ZYHT12,B0F8ZYHT12,Small Engine Tachometer Digital Chainsaw RPM Gauge Tiny Tach Hour Meter with Clip Mini Inductive Pulse Tachometer RPM Gauge Tester for Motorcycle Marine Outboard Boat Diesel Lawn Mower Tacho Meter,"['Patio, Lawn & Garden', 'lawn-garden']",US,22.99,6.44,1.84,3.93,0.15,251.0,64.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0F8ZYHT12; parent B0F8ZYHT12; brand HTPREC,https://www.amazon.com/dp/B0F8ZYHT12,0.0,0.0,35.0,D,estimated_or_unverified,41.7,Reject,7.33,0.3189,1840.21,45.8,54.3,16.3,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Transmission Filters,B0D1P79YX8,B0D1P79YX8,"Transmission Filters/Hydraulic Filters/Oil Filters, for bad boy Hydro Gear | for Bad Boy 063-1050-00 Hydro Gear 2800 3100 3200, 2 Pack","['Patio, Lawn & Garden', 'lawn-garden']",US,20.89,5.85,1.67,4.86,0.15,482.0,197.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D1P79YX8; parent B0D1P79YX8; brand LikeLion,https://www.amazon.com/dp/B0D1P79YX8,0.0,0.0,35.0,D,estimated_or_unverified,41.7,Reject,5.38,0.2574,2591.47,84.3,46.8,6.3,22.0,78.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Pulleys,B089Q189RF,B0GSMW157N,2 Pack 756-04129b Idler Pulley 4.25 for Cub Cadet 50' RZT50 Mower | Replaces 956-04129b 753-08171 753-08068a 12675 for Troy Bilt 42' Cub Cadet 50' LTX1040 LT1045 LTX1050 RZT54 LTX1045 RZT42,"['Patio, Lawn & Garden', 'lawn-garden']",US,21.99,6.16,1.76,6.65,0.15,1512.0,232.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B089Q189RF; parent B0GSMW157N; brand POSEAGLE,https://www.amazon.com/dp/B089Q189RF,0.0,0.0,35.0,D,estimated_or_unverified,41.7,Reject,4.12,0.1874,6231.71,87.3,36.8,14.9,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
category:Tabletop Wine Racks,B0F9QK3GJT,B0DMNQSCD7,"Rotating Coffee Syrup Organizer Hold 6 Bottles, Black | Wood Coffee Syrup Rack for Countertop, Large Bottle Holder Stand for Bar Station, Turntable Wine Display Tray","['Kitchen & Dining', 'kitchen']",US,24.98,6.99,2.0,6.54,0.15,386.0,63.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0F9QK3GJT; parent B0DMNQSCD7; brand SUNNEKO,https://www.amazon.com/dp/B0F9QK3GJT,0.0,0.0,35.0,D,estimated_or_unverified,41.7,Reject,5.7,0.2283,2201.36,68.3,58.3,4.8,27.0,73.0,gross margin below 35%; unit profit below $8; evidence confidence below supplier-validation threshold; landed cost still estimated,,,,,,,,,,,,,,
