product_form,demand_type,theme,sentiment,mention_count,verified_count,avg_rating,user_profiles,use_scenes,example_asins,latest_review_date,evidence_excerpt
unknown,uncategorized,value_quantity,positive,5,4,5.0,family; professional,storage,B0FDWG2B7F; B0FDWM1S9K,20260503,GOOD PRODUCT . VERY STURDY. NOT SMELLY LIKE SOME MOVING BAGS. I LIKE THE HADLES TOO. IT WRAPS AROUND THE BOTTOM SO VERY SECURE. WILL RECOMMEND TO MY FAMILY AND FRIENDS
unknown,delight,value_quantity,positive,5,4,5.0,professional,storage,B0FDW31FSN; B0FDWG2B7F; B0FDWM1S9K; B0FDWM5PSL,20260503,These moving bags are a nice size and have handles making them easy to carry. They are durable and don‘t require the use of packing tape as they zip shut and they can be folded and require little space to be stored and can be used repeatedl
extra-large storage bag,uncategorized,performance,positive,4,3,4.75,professional,storage,B0FDWLX8QP,20260504,"I wanted something lightweight and inexpensive to pack my clothes in for moving and I decided to give these a try.  They‘re working out great so far, they hold a lot!  I haven‘t moved yet to see how they hold up but the black handle straps "
unknown,uncategorized,other,positive,4,4,5.0,,storage,B0FDW31FSN; B0FDWG2B7F; B0FDWKZNLV,20260428,These are must haves for moving. So much easier than boxes!
extra-large storage bag,delight,ease_of_use,positive,3,2,5.0,family,storage; travel,B0FDWLX8QP,20260428,"These moving bags are the best things since sliced bread, let me tell you!! I will never want to use cardboard boxes again after discovering just how useful, practical, and easy-to-use these things are. The material is thick enough to not h"
extra-large storage bag,uncategorized,value_quantity,positive,3,2,5.0,professional,,B0FDWLX8QP,20260504,"I wanted something lightweight and inexpensive to pack my clothes in for moving and I decided to give these a try.  They‘re working out great so far, they hold a lot!  I haven‘t moved yet to see how they hold up but the black handle straps "
unknown,expected,durability,positive,3,2,5.0,older_adult; professional,storage,B0FDWG2B7F; B0FDWM1S9K; B0FDWM5PSL,20260428,Bags are durable and easy to carry. I have arthritis in my hands and these bags work really well for me.
unknown,delight,material_quality,positive,3,2,5.0,professional,storage,B0FDW31FSN; B0FDWG2B7F; B0FDWM1S9K,20260429,"WORKED PERFECTLY WHEN I WAS MOVING. The quality is very good, they work so much better than boxes when you need to carry them to /from place to place. The fold very nicely, and can be reused in a future"
extra-large storage bag,uncategorized,durability,negative,2,2,2.5,,,B0FDWLX8QP,20260421,"Not my favorite bag like this. This fabric is more stiff and cracks, also found that the zippers and zipper attachment brakes. I like that this is see-through but miss the side handles that other bags have for lifting and moving."
extra-large storage bag,expected,material_quality,negative,2,2,3.0,professional,,B0FDWLX8QP,20260426,"I work in a consignment shop, and when people bring clothing items into consign we use bags like these.We wanted to try something different and move towards a clear bag, however I have to say that the zippers on these do not hold up to repe"
extra-large storage bag,uncategorized,material_quality,negative,2,2,2.5,,,B0FDWLX8QP,20260421,"Not my favorite bag like this. This fabric is more stiff and cracks, also found that the zippers and zipper attachment brakes. I like that this is see-through but miss the side handles that other bags have for lifting and moving."
extra-large storage bag,uncategorized,size_fit,positive,2,2,4.5,,gift,B0FDWLX8QP,20260429,Holds a bunch of linens - packed 2 king comforters in one bag !!
unknown,expected,ease_of_use,positive,2,2,5.0,older_adult; professional,storage,B0FDWM1S9K; B0FDWM5PSL,20260428,Bags are durable and easy to carry. I have arthritis in my hands and these bags work really well for me.
unknown,delight,performance,positive,2,2,5.0,professional,,B0FDWG2B7F; B0FDWM5PSL,20260502,Perfect
unknown,delight,size_fit,positive,2,2,5.0,,storage,B0FDWM1S9K,20260503,These moving bags are a nice size and have handles making them easy to carry. They are durable and don‘t require the use of packing tape as they zip shut and they can be folded and require little space to be stored and can be used repeatedl
extra-large storage bag,expected,cleaning_maintenance,positive,1,1,5.0,professional,storage,B0FDWLX8QP,20260422,"Bags worked great for what I needed them for. I used them to store purses and shoes, so it would be easier for me to clean the closet floors."
extra-large storage bag,basic,durability,negative,1,1,2.0,,,B0FDWLX8QP,20260430,"The zippers are a bit cheesy, they get stuck I had to end up breaking it to access the contents. A waste of a bag."
extra-large storage bag,expected,durability,negative,1,1,3.0,professional,,B0FDWLX8QP,20260426,"I work in a consignment shop, and when people bring clothing items into consign we use bags like these.We wanted to try something different and move towards a clear bag, however I have to say that the zippers on these do not hold up to repe"
extra-large storage bag,fulfillment_noise,durability,positive,1,1,5.0,,storage,B0FDWLX8QP,20260426,"Look can be deceiving when these bags arrived. After opening and putting things in, we are glad that we bought them. They are strong, sturdy, and great to organize and stacking pillows, sheets, comforter, etc."
extra-large storage bag,uncategorized,ease_of_use,positive,1,0,5.0,,,B0FDWLX8QP,20260429,"Great for packing clothes or linens for moving,cuts down on boxes, very strong, & easily portable"
extra-large storage bag,uncategorized,ease_of_use,negative,1,1,2.0,,,B0FDWLX8QP,20260420,"Real large containers, but very flimsy. It zips ok, but hard to handle bc it’s so flimsy. Not firm exterior"
extra-large storage bag,uncategorized,material_quality,positive,1,0,5.0,,storage,B0FDWLX8QP,20260423,no complaints. i store my yarn in them. lol holds a lot. i can see what‘s in the bags which is ideal for me. sturdy and thicker material makes it great for storage. no idea if it keeps water out but good enough for what i need them for. the
extra-large storage bag,fulfillment_noise,packaging_delivery,positive,1,1,5.0,,storage,B0FDWLX8QP,20260426,"Look can be deceiving when these bags arrived. After opening and putting things in, we are glad that we bought them. They are strong, sturdy, and great to organize and stacking pillows, sheets, comforter, etc."
extra-large storage bag,uncategorized,performance,negative,1,1,1.0,,,B0FDWLX8QP,20260501,Mildew
extra-large storage bag,expected,performance,negative,1,1,3.0,professional,,B0FDWLX8QP,20260426,"I work in a consignment shop, and when people bring clothing items into consign we use bags like these.We wanted to try something different and move towards a clear bag, however I have to say that the zippers on these do not hold up to repe"
extra-large storage bag,expected,performance,positive,1,1,5.0,professional,storage,B0FDWLX8QP,20260422,"Bags worked great for what I needed them for. I used them to store purses and shoes, so it would be easier for me to clean the closet floors."
extra-large storage bag,expected,size_fit,negative,1,1,3.0,professional,,B0FDWLX8QP,20260426,"I work in a consignment shop, and when people bring clothing items into consign we use bags like these.We wanted to try something different and move towards a clear bag, however I have to say that the zippers on these do not hold up to repe"
extra-large storage bag,uncategorized,size_fit,negative,1,1,2.0,,,B0FDWLX8QP,20260420,"Real large containers, but very flimsy. It zips ok, but hard to handle bc it’s so flimsy. Not firm exterior"
extra-large storage bag,expected,value_quantity,negative,1,1,3.0,,,B0FDWLX8QP,20260426,The quality of the bags are very good. But 2 of the bags handles broke off packed with baby clothes only. I would have given them a 5 star otherwise.
extra-large storage box,basic,durability,negative,1,1,1.0,,,B0FN8HSZHC,20260102,"These bins are VERY brittle and cheaply made. Good luck of you choose to buy these. Three of the four was delivered broken. When we tried to do a return, they were breaking while trying to get them to the counter."
extra-large storage box,delight,ease_of_use,positive,1,0,5.0,,,B0FN8HSZHC,20260405,Very convenient and easy to pull. Love mine for craft fairs
extra-large storage box,uncategorized,other,positive,1,1,5.0,,,B0FN8HSZHC,20260117,I like it. It‘s big
extra-large storage box,uncategorized,value_quantity,positive,1,0,5.0,,,B0FN8HSZHC,20260322,Great price used them for a toy box
unknown,delight,other,positive,1,1,5.0,,,B0FDWG2B7F,20260429,Absolutely amazing purchase
unknown,reverse,other,positive,1,1,5.0,,,B0FDW31FSN,20260426,"Theses bags are great! Making  my move so much easier. Great for bedding, clothes, shoes  and bulky items."
unknown,uncategorized,performance,positive,1,1,5.0,professional,,B0FDWG2B7F,20260429,Used for packing clothes & it works great!
unknown,expected,performance,positive,1,1,5.0,older_adult; professional,storage,B0FDWM1S9K,20260428,Bags are durable and easy to carry. I have arthritis in my hands and these bags work really well for me.
unknown,uncategorized,size_fit,positive,1,1,5.0,,storage,B0FDWG2B7F,20260426,"These are a great size, holds a lot! I was pleasantly surprised at how sturdy they are and I quickly packed up winter blankets, winter clothing, holiday decor (pillows, blankets and stockings).The labels are great to readily identify conten"
