source_strategy,source_asin,source_parent_asin,product_name,category,marketplace,target_price,cost,shipping,fba_fee,referral_fee_rate,est_monthly_sales,avg_review_count,avg_rating,top10_review_share,keyword_search_volume,keyword_cpc,seasonality_score,differentiation_score,compliance_risk,fragile_risk,oversize_risk,notes,listing_url,opportunity_score,recommendation,gross_profit_per_unit,gross_margin,monthly_gross_profit,demand_score,competition_score,profitability_score,risk_score,risk_control_score,key_flags,brand_moat_reason,hard_stop_reason,archive_key,archive_first_seen,archive_last_seen,archive_seen_count,archive_best_score,archive_latest_score,archive_best_recommendation,archive_latest_recommendation,archive_status,archive_last_run_id,research_status,archive_notes
category:Barbecue Forks,B0FL9F43KH,B0GTYPHQSB,"Smores Sticks For Fire Pit [All-Stainless Steel Set Of 6] -Marshmallow Roasting Sticks For Campfire, Telescoping S‘mores Forks -Long Hot Dog Sticks [Dishwasher-Safe] - SUMPRI Campfire Skewers","['Patio, Lawn & Garden', 'lawn-garden']",US,18.95,5.31,1.52,4.87,0.15,444.0,63.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0FL9F43KH; parent B0GTYPHQSB; brand SUMPRI,https://www.amazon.com/dp/B0FL9F43KH,41.7,Reject,4.41,0.2326,1956.93,78.0,54.3,2.7,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Covers,B0B8S2W455,B0CBK7KMJX,"Zettum Riding Lawn Mower Cover - Lawn Tractor Covers Waterproof & Heavy Duty, 600D Outdoor Mower Cover Universal fit with Storage Bag for John Deere, EGO, Toro, Craftsman, Husqvarna, Honda and More","['Patio, Lawn & Garden', 'lawn-garden']",US,36.99,10.36,2.96,7.83,0.15,3342.0,1323.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0B8S2W455; parent B0CBK7KMJX; brand Zettum,https://www.amazon.com/dp/B0B8S2W455,41.7,Reject,10.29,0.2782,34394.19,87.3,14.3,34.3,27.0,73.0,gross margin below 35%; review count above 600,,,,,,,,,,,,,,
category:Tune-Up Kits,B07MLPJ3NH,B07MLPJ3NH,XT1 Oil Change Kit Air Filter for Cub Cadet KH-32-883-09-S1 XT2 XT1 LT46 LT50 ZT1-54 ZT1-42 Kohler 7000 Series KT715-KT745 725CC Engines Replace 32-083-09-S,"['Patio, Lawn & Garden', 'lawn-garden']",US,28.88,8.09,2.31,5.76,0.15,1504.0,1120.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B07MLPJ3NH; parent B07MLPJ3NH; brand Butom,https://www.amazon.com/dp/B07MLPJ3NH,41.4,Reject,8.39,0.2904,12615.55,87.3,14.3,32.2,22.0,78.0,gross margin below 35%; review count above 600,,,,,,,,,,,,,,
category:Covers,B0CPF5BT6J,B0GXZJT2XF,"Outdoor Zero-Turn Mower Cover Waterproof,Durable 210D Tearproof Anti-UV Zero Turn Covers,Dustproof Riding Lawn Tractor Covers Up to 60“ Decks,Secure Straps,79“Lx46“Wx55“H-Essential","['Patio, Lawn & Garden', 'lawn-garden']",US,25.99,7.28,2.08,5.36,0.15,604.0,800.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0CPF5BT6J; parent B0GXZJT2XF; brand ClawsCover,https://www.amazon.com/dp/B0CPF5BT6J,41.1,Reject,7.37,0.2836,4452.39,87.3,28.3,19.1,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Transmission Filters,B0D1P79YX8,B0D1P79YX8,(2) Transmission Filters/Hydraulic Filters/Oil Filters for Bad Boy 063-1050-00 Hydro Gear 2800 3100 3200,"['Patio, Lawn & Garden', 'lawn-garden']",US,20.89,5.85,1.67,4.86,0.15,446.0,156.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D1P79YX8; parent B0D1P79YX8; brand LikeLion,https://www.amazon.com/dp/B0D1P79YX8,40.6,Reject,5.38,0.2574,2397.92,78.3,46.8,5.7,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Oil Filters,B07JJD5N6X,B07JJD5N6X,John Deere Original Original Equipment Oil Filter - AM125424 (2),"['Patio, Lawn & Garden', 'lawn-garden']",US,17.71,4.96,1.42,3.5,0.15,481.0,211.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B07JJD5N6X; parent B07JJD5N6X; brand John Deere,https://www.amazon.com/dp/B07JJD5N6X,40.0,Reject,5.17,0.2921,2488.45,84.1,36.8,10.2,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Wastebaskets,B0FM79B5SN,B0D9PB1JH7,"Cesun 1.2 Gallons Small Brown Trash Can, Bathroom Garbage Can with Lid and Foot Pedal, Mini Round Wastebasket for Bathroom, Bedroom, Office, 4.5 Liters / 1.2 Gallons, Brown","['Home & Kitchen', 'home-garden']",US,27.99,7.84,2.24,9.08,0.15,3112.0,704.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0FM79B5SN; parent B0D9PB1JH7; brand Cesun,https://www.amazon.com/dp/B0FM79B5SN,39.7,Reject,4.63,0.1655,14413.23,87.3,24.3,20.0,27.0,73.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Barbecue Forks,B0CX1BPMD4,B0D7VF21YQ,"Begatter Heavy Duty Hot Dog Roasting Sticks for Campfire, Extendable Marshmallow Sticks for Fire Pit, 32“ Long Smores Sticks, Stainless Steel Skewers for Hotdogs and Smores, Beech Wood Handle, 4 Pack","['Patio, Lawn & Garden', 'lawn-garden']",US,33.99,9.52,2.72,7.47,0.15,348.0,216.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CX1BPMD4; parent B0D7VF21YQ; brand Begatter,https://www.amazon.com/dp/B0CX1BPMD4,38.7,Reject,9.18,0.2701,3195.16,62.0,36.8,17.3,27.0,73.0,gross margin below 35%,,,,,,,,,,,,,,
category:Wastebaskets,B0CQKV18C3,B0D2H3SF66,"Cesun Motion Sensor Trash Can, 5 Gallon Automatic Bathroom Garbage Can with Lid, Touchless Smart Plastic Slim Wastebasket for Bathroom, Office, rv, Bedroom, Living Room, Black","['Home & Kitchen', 'home-garden']",US,34.99,9.8,2.8,11.08,0.15,3371.0,2349.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CQKV18C3; parent B0D2H3SF66; brand Cesun,https://www.amazon.com/dp/B0CQKV18C3,38.6,Reject,6.06,0.1732,20433.32,87.3,18.3,22.1,27.0,73.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Belts,B0DSLC54Q2,B0GVJF1F2L,125907x 532125907 1/2“ x 90“ Drive Belt Replacement for Craftsman Poulan Husqvarna Riding Mower - Fits 125907X 126907X 532193214 193214 105732X 120302X M79204 754-0330 954-0330 - Lawn Tractor V-Belt,"['Patio, Lawn & Garden', 'lawn-garden']",US,12.24,3.43,0.98,4.89,0.15,1227.0,303.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0DSLC54Q2; parent B0GVJF1F2L; brand Axyuada,https://www.amazon.com/dp/B0DSLC54Q2,38.5,Reject,1.1,0.0902,1354.61,87.3,40.8,1.0,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Belts,B0G586R357,B0H1Z7WSDJ,"GX21833 48 Inch Mower Deck Belt for John Deere 145 D140 D150 D155 D160 L120 L130 LA130 LA140 LA145 LA155 LA165 Z200 Z255 Z300 Z355E Riding Lawn Mower GX20571, 1/2“ X 141.7“","['Patio, Lawn & Garden', 'lawn-garden']",US,19.54,5.47,1.56,5.94,0.15,4013.0,852.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0G586R357; parent B0H1Z7WSDJ; brand Tecreddy,https://www.amazon.com/dp/B0G586R357,38.4,Reject,3.64,0.1862,14603.31,87.3,18.3,20.0,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Barbecue Forks,B0C9T2RK2F,B0C9T2RK2F,Blue River Goods Smores Sticks | Set of 6 Marshmallow Roasting Sticks | Extendable Stainless Steel w/Walnut Handles | Smore Sticks for Marshmallow Sticks for Fire Pit | Smore Sticks for Fire Pit,"['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,4.73,0.15,479.0,265.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0C9T2RK2F; parent B0C9T2RK2F; brand Blue River Goods,https://www.amazon.com/dp/B0C9T2RK2F,38.0,Reject,5.06,0.2532,2424.46,83.8,36.8,4.6,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Fuel Lines,B000P7SKKK,B000P7SKKK,Kohler Fuel Pump - OEM Replacement Part# 2439316,"['Patio, Lawn & Garden', 'lawn-garden']",US,26.78,7.5,2.14,4.9,0.15,391.0,568.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B000P7SKKK; parent B000P7SKKK; brand Kohler,https://www.amazon.com/dp/B000P7SKKK,37.6,Reject,8.22,0.3071,3215.19,69.1,24.3,20.4,22.0,78.0,gross margin below 35%,,,,,,,,,,,,,,
category:Wastebaskets,B0BQ2N3S76,B0C5CQBRP2,"TrashAid Slim Bathroom Trash Can with Lid Soft Close, 6 Liter/1.6 Gallon Stainless Steel Small Garbage Can with Removable Inner Bucket, Step Pedal, Slim Wastebasket for Toilet, Office, Bedroom, White","['Home & Kitchen', 'home-garden']",US,29.99,8.4,2.4,9.36,0.15,3579.0,2375.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0BQ2N3S76; parent B0C5CQBRP2; brand TrashAid,https://www.amazon.com/dp/B0BQ2N3S76,36.9,Reject,5.33,0.1778,19081.44,87.3,14.3,20.7,27.0,73.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Wastebaskets,B0CS9QQ563,B0FSXFQYCC,"CEROELDA Small Bathroom Trash Can with Lid Soft Close-5L/1.3 Gal Stainless Steel Garbage Can-Step Pedal Wastebasket Slim Trash Bin for Office, Bedroom, Toilet, Live Room-White","['Home & Kitchen', 'home-garden']",US,26.99,7.56,2.16,9.27,0.15,4174.0,2429.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0CS9QQ563; parent B0FSXFQYCC; brand CEROELDA,https://www.amazon.com/dp/B0CS9QQ563,36.7,Reject,3.95,0.1464,16493.56,87.3,14.3,20.0,27.0,73.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Belts,B0F1MZ84GD,B0F1MZF396,Quanaoo GX20072 Deck Belt 1/2“ x 104“ for John Deere D100 D105 D110 D125 D130 L100 L110 E100 E110 E120 E130 LA105 LA110 LA115 S100 GY20570 42in Riding Mower/Tractors Replace GY20570,"['Patio, Lawn & Garden', 'lawn-garden']",US,13.99,3.92,1.12,4.89,0.15,1612.0,409.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0F1MZ84GD; parent B0F1MZF396; brand Quanaoo,https://www.amazon.com/dp/B0F1MZ84GD,36.6,Reject,1.96,0.1402,3161.94,87.3,28.3,6.2,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Covers,B0D2TLTX27,B0D2TLTX27,"TitanCovers Lawn Mower Cover with PA Coating & Double Drawstring & Storage Bag, Heavy Duty 600D Polyester Oxford Push Mower Cover, Waterproof Lawnmower Covers for Outdoor","['Patio, Lawn & Garden', 'lawn-garden']",US,19.79,5.54,1.58,4.9,0.15,1519.0,819.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D2TLTX27; parent B0D2TLTX27; brand TITANCOVERS,https://www.amazon.com/dp/B0D2TLTX27,36.5,Reject,4.8,0.2426,7293.48,87.3,14.3,18.0,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Tune-Up Kits,B07XW6XZYY,B07XW6XZYY,HIPA GCV190 HRX217 Carburetor for Honda GCV 190 GCV190LA GCV190A Engine HRX 217 HRB217 HRX217K1 HRX217K2 Lawn Mower Replace 16100-Z0Y-813 Pressure Washer,"['Patio, Lawn & Garden', 'lawn-garden']",US,23.99,6.72,1.92,4.89,0.15,630.0,939.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B07XW6XZYY; parent B07XW6XZYY; brand Hipa,https://www.amazon.com/dp/B07XW6XZYY,36.5,Reject,6.86,0.286,4322.75,87.3,14.3,18.0,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Tune-Up Kits,B07C1LLD7Q,B07C1LLD7Q,Powtol 20 853 33-S SV600 Carburetor for Kohler Courage SV541 SV590 SV540S SV540 SV530 SV601 SV610 SV620 SV591 SV470 20 HP 20HP 18HP 19HP SV Series Engine Lawn Mower Tractor,"['Patio, Lawn & Garden', 'lawn-garden']",US,19.99,5.6,1.6,4.1,0.15,670.0,1198.0,4.3,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B07C1LLD7Q; parent B07C1LLD7Q; brand Powtol,https://www.amazon.com/dp/B07C1LLD7Q,36.3,Reject,5.69,0.2847,3813.3,87.3,18.3,14.0,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Self-Stick Note Pad Holders,B0BBR7D1BP,B0B7MTVF3Z,Eersida Rhinestone Self Stick Note Pad Holders 4 x 4 Inches Rose Gold Cute Note Holder Sticky Dispenser Bling Memo Stick Dispenser for Office Employee Coworkers Gifts Home Desk Supplies,"['Office Products', 'office-products']",US,14.99,4.2,1.2,4.45,0.15,580.0,684.0,4.0,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0BBR7D1BP; parent B0B7MTVF3Z; brand Eersida,https://www.amazon.com/dp/B0BBR7D1BP,35.7,Reject,2.89,0.1929,1677.07,87.3,30.3,1.9,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Grass Catchers,B0DLMGRCSS,B0DLMGRCSS,"FENXDN 138-7502 Discharge Deflector/Deflector Shield Compatible with Toro/Ex-Mark 74690, 74694, 75743, 75745, 75753, 75755, 75754, 75757, 75760W, QZE725GKC42200, QZS735GKC54200 Lawn Mower, w/Spring","['Patio, Lawn & Garden', 'lawn-garden']",US,29.99,8.4,2.4,15.36,0.15,257.0,88.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,45.0,Imported from Sorftime; ASIN B0DLMGRCSS; parent B0DLMGRCSS; brand FENXDN,https://www.amazon.com/dp/B0DLMGRCSS,35.6,Reject,-0.67,-0.0223,-171.8,46.8,54.3,0.0,27.0,73.0,negative unit profit; gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Tune-Up Kits,B0CSYSRZ12,B0CSYSRZ12,Aylux 799583 593261 Carburetor Kits for B&S 595656 591979 591160 08P502 8P502 09P602 9P602 300E 450E 500E 550EX Series Engines with 799579 Filter 595660 Cover,"['Patio, Lawn & Garden', 'lawn-garden']",US,18.99,5.32,1.52,4.89,0.15,768.0,450.0,4.6,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0CSYSRZ12; parent B0CSYSRZ12; brand Aylux,https://www.amazon.com/dp/B0CSYSRZ12,35.6,Reject,4.41,0.2323,3388.03,87.3,24.3,6.8,22.0,78.0,gross margin below 35%; unit profit below $8,,,,,,,,,,,,,,
category:Belts,B0D4CXPC8R,B0GSJ79X7B,"954-05022A Lawn Mower 46“ Deck Belt 1/2“ x 108.3“ Replacement for Cub Cadet/Troy-Bilt/Craftsman 754-05022, XT1 and XT2 Enduro Series LT46, LT46 KH, LX46, T225, T240, LX46 KW","['Patio, Lawn & Garden', 'lawn-garden']",US,14.88,4.17,1.19,4.9,0.15,835.0,695.0,4.4,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,20.0,Imported from Sorftime; ASIN B0D4CXPC8R; parent B0GSJ79X7B; brand XHHKJGS,https://www.amazon.com/dp/B0D4CXPC8R,35.4,Reject,2.39,0.1605,1993.98,87.3,28.3,2.8,22.0,78.0,gross margin below 35%; unit profit below $8; review count above 600,,,,,,,,,,,,,,
category:Access Doors,B0DCYRC1QC,B0D2D96JQP,"Thicken 1mm 16 x 24 Access Panel for Drywall,Attic Door, Ceiling Access Panel for Drywall,16x24 Metal Access Panels are Thickened to 1mm to Solve The Problem of Fragile Panels(Screwdriver Latch)","['Tools & Home Improvement', 'hi']",US,43.68,12.23,3.49,14.2,0.15,891.0,318.0,4.5,0.55,10000.0,1.0,20.0,50.0,25.0,20.0,65.0,Imported from Sorftime; ASIN B0DCYRC1QC; parent B0D2D96JQP; brand Joogto,https://www.amazon.com/dp/B0DCYRC1QC,35.0,Reject,7.21,0.165,6422.33,87.3,36.8,19.9,31.0,69.0,hard oversize/logistics risk; gross margin below 35%; unit profit below $8; oversize risk,,hard oversize/logistics risk,,,,,,,,,,,,
